Label,Level,RuleId,Message,Xpath,Help
"results","pass","html_lang_valid","Lang has a valid primary lang and conforms to BCP 47","/html[1]","https://able.ibm.com/rules/archives/2024.12.12/doc/en-US/html_lang_valid.html#%7B%22message%22%3A%22Lang%20has%20a%20valid%20primary%20lang%20and%20conforms%20to%20BCP%2047%22%2C%22snippet%22%3A%22%3Chtml%20class%3D%5C%22%20js%5C%22%20prefix%3D%5C%22content%3A%20http%3A%2F%2Fpurl.org%2Frss%2F1.0%2Fmodules%2Fcontent%2F%20%20dc%3A%20http%3A%2F%2Fpurl.org%2Fdc%2Fterms%2F%20%20foaf%3A%20http%3A%2F%2Fxmlns.com%2Ffoaf%2F0.1%2F%20%20og%3A%20http%3A%2F%2Fogp.me%2Fns%23%20%20rdfs%3A%20http%3A%2F%2Fwww.w3.org%2F2000%2F01%2Frdf-schema%23%20%20schema%3A%20http%3A%2F%2Fschema.org%2F%20%20sioc%3A%20http%3A%2F%2Frdfs.org%2Fsioc%2Fns%23%20%20sioct%3A%20http%3A%2F%2Frdfs.org%2Fsioc%2Ftypes%23%20%20skos%3A%20http%3A%2F%2Fwww.w3.org%2F2004%2F02%2Fskos%2Fcore%23%20%20xsd%3A%20http%3A%2F%2Fwww.w3.org%2F2001%2FXMLSchema%23%20%5C%22%20dir%3D%5C%22ltr%5C%22%20lang%3D%5C%22en%5C%22%3E%22%2C%22value%22%3A%5B%22VIOLATION%22%2C%22PASS%22%5D%2C%22reasonId%22%3A%22Pass_0%22%2C%22ruleId%22%3A%22html_lang_valid%22%2C%22msgArgs%22%3A%5B%5D%7D"
"results","pass","html_lang_exists","Page language detected as ""en""","/html[1]","https://able.ibm.com/rules/archives/2024.12.12/doc/en-US/html_lang_exists.html#%7B%22message%22%3A%22Page%20language%20detected%20as%20%5C%22en%5C%22%22%2C%22snippet%22%3A%22%3Chtml%20class%3D%5C%22%20js%5C%22%20prefix%3D%5C%22content%3A%20http%3A%2F%2Fpurl.org%2Frss%2F1.0%2Fmodules%2Fcontent%2F%20%20dc%3A%20http%3A%2F%2Fpurl.org%2Fdc%2Fterms%2F%20%20foaf%3A%20http%3A%2F%2Fxmlns.com%2Ffoaf%2F0.1%2F%20%20og%3A%20http%3A%2F%2Fogp.me%2Fns%23%20%20rdfs%3A%20http%3A%2F%2Fwww.w3.org%2F2000%2F01%2Frdf-schema%23%20%20schema%3A%20http%3A%2F%2Fschema.org%2F%20%20sioc%3A%20http%3A%2F%2Frdfs.org%2Fsioc%2Fns%23%20%20sioct%3A%20http%3A%2F%2Frdfs.org%2Fsioc%2Ftypes%23%20%20skos%3A%20http%3A%2F%2Fwww.w3.org%2F2004%2F02%2Fskos%2Fcore%23%20%20xsd%3A%20http%3A%2F%2Fwww.w3.org%2F2001%2FXMLSchema%23%20%5C%22%20dir%3D%5C%22ltr%5C%22%20lang%3D%5C%22en%5C%22%3E%22%2C%22value%22%3A%5B%22VIOLATION%22%2C%22PASS%22%5D%2C%22reasonId%22%3A%22Pass_0%22%2C%22ruleId%22%3A%22html_lang_exists%22%2C%22msgArgs%22%3A%5B%22en%22%5D%7D"
"results","pass","html_skipnav_exists","Rule Passed","/html[1]","https://able.ibm.com/rules/archives/2024.12.12/doc/en-US/html_skipnav_exists.html#%7B%22message%22%3A%22Rule%20Passed%22%2C%22snippet%22%3A%22%3Chtml%20class%3D%5C%22%20js%5C%22%20prefix%3D%5C%22content%3A%20http%3A%2F%2Fpurl.org%2Frss%2F1.0%2Fmodules%2Fcontent%2F%20%20dc%3A%20http%3A%2F%2Fpurl.org%2Fdc%2Fterms%2F%20%20foaf%3A%20http%3A%2F%2Fxmlns.com%2Ffoaf%2F0.1%2F%20%20og%3A%20http%3A%2F%2Fogp.me%2Fns%23%20%20rdfs%3A%20http%3A%2F%2Fwww.w3.org%2F2000%2F01%2Frdf-schema%23%20%20schema%3A%20http%3A%2F%2Fschema.org%2F%20%20sioc%3A%20http%3A%2F%2Frdfs.org%2Fsioc%2Fns%23%20%20sioct%3A%20http%3A%2F%2Frdfs.org%2Fsioc%2Ftypes%23%20%20skos%3A%20http%3A%2F%2Fwww.w3.org%2F2004%2F02%2Fskos%2Fcore%23%20%20xsd%3A%20http%3A%2F%2Fwww.w3.org%2F2001%2FXMLSchema%23%20%5C%22%20dir%3D%5C%22ltr%5C%22%20lang%3D%5C%22en%5C%22%3E%22%2C%22value%22%3A%5B%22VIOLATION%22%2C%22PASS%22%5D%2C%22reasonId%22%3A%22Pass_0%22%2C%22ruleId%22%3A%22html_skipnav_exists%22%2C%22msgArgs%22%3A%5B%5D%7D"
"results","pass","page_title_exists","Rule Passed","/html[1]","https://able.ibm.com/rules/archives/2024.12.12/doc/en-US/page_title_exists.html#%7B%22message%22%3A%22Rule%20Passed%22%2C%22snippet%22%3A%22%3Chtml%20class%3D%5C%22%20js%5C%22%20prefix%3D%5C%22content%3A%20http%3A%2F%2Fpurl.org%2Frss%2F1.0%2Fmodules%2Fcontent%2F%20%20dc%3A%20http%3A%2F%2Fpurl.org%2Fdc%2Fterms%2F%20%20foaf%3A%20http%3A%2F%2Fxmlns.com%2Ffoaf%2F0.1%2F%20%20og%3A%20http%3A%2F%2Fogp.me%2Fns%23%20%20rdfs%3A%20http%3A%2F%2Fwww.w3.org%2F2000%2F01%2Frdf-schema%23%20%20schema%3A%20http%3A%2F%2Fschema.org%2F%20%20sioc%3A%20http%3A%2F%2Frdfs.org%2Fsioc%2Fns%23%20%20sioct%3A%20http%3A%2F%2Frdfs.org%2Fsioc%2Ftypes%23%20%20skos%3A%20http%3A%2F%2Fwww.w3.org%2F2004%2F02%2Fskos%2Fcore%23%20%20xsd%3A%20http%3A%2F%2Fwww.w3.org%2F2001%2FXMLSchema%23%20%5C%22%20dir%3D%5C%22ltr%5C%22%20lang%3D%5C%22en%5C%22%3E%22%2C%22value%22%3A%5B%22VIOLATION%22%2C%22PASS%22%5D%2C%22reasonId%22%3A%22Pass_0%22%2C%22ruleId%22%3A%22page_title_exists%22%2C%22msgArgs%22%3A%5B%5D%7D"
"results","pass","dir_attribute_valid","Rule Passed","/html[1]","https://able.ibm.com/rules/archives/2024.12.12/doc/en-US/dir_attribute_valid.html#%7B%22message%22%3A%22Rule%20Passed%22%2C%22snippet%22%3A%22%3Chtml%20class%3D%5C%22%20js%5C%22%20prefix%3D%5C%22content%3A%20http%3A%2F%2Fpurl.org%2Frss%2F1.0%2Fmodules%2Fcontent%2F%20%20dc%3A%20http%3A%2F%2Fpurl.org%2Fdc%2Fterms%2F%20%20foaf%3A%20http%3A%2F%2Fxmlns.com%2Ffoaf%2F0.1%2F%20%20og%3A%20http%3A%2F%2Fogp.me%2Fns%23%20%20rdfs%3A%20http%3A%2F%2Fwww.w3.org%2F2000%2F01%2Frdf-schema%23%20%20schema%3A%20http%3A%2F%2Fschema.org%2F%20%20sioc%3A%20http%3A%2F%2Frdfs.org%2Fsioc%2Fns%23%20%20sioct%3A%20http%3A%2F%2Frdfs.org%2Fsioc%2Ftypes%23%20%20skos%3A%20http%3A%2F%2Fwww.w3.org%2F2004%2F02%2Fskos%2Fcore%23%20%20xsd%3A%20http%3A%2F%2Fwww.w3.org%2F2001%2FXMLSchema%23%20%5C%22%20dir%3D%5C%22ltr%5C%22%20lang%3D%5C%22en%5C%22%3E%22%2C%22value%22%3A%5B%22VIOLATION%22%2C%22PASS%22%5D%2C%22reasonId%22%3A%22Pass_0%22%2C%22ruleId%22%3A%22dir_attribute_valid%22%2C%22msgArgs%22%3A%5B%5D%7D"
"results","pass","img_alt_background","Rule Passed","/html[1]","https://able.ibm.com/rules/archives/2024.12.12/doc/en-US/img_alt_background.html#%7B%22message%22%3A%22Rule%20Passed%22%2C%22snippet%22%3A%22%3Chtml%20class%3D%5C%22%20js%5C%22%20prefix%3D%5C%22content%3A%20http%3A%2F%2Fpurl.org%2Frss%2F1.0%2Fmodules%2Fcontent%2F%20%20dc%3A%20http%3A%2F%2Fpurl.org%2Fdc%2Fterms%2F%20%20foaf%3A%20http%3A%2F%2Fxmlns.com%2Ffoaf%2F0.1%2F%20%20og%3A%20http%3A%2F%2Fogp.me%2Fns%23%20%20rdfs%3A%20http%3A%2F%2Fwww.w3.org%2F2000%2F01%2Frdf-schema%23%20%20schema%3A%20http%3A%2F%2Fschema.org%2F%20%20sioc%3A%20http%3A%2F%2Frdfs.org%2Fsioc%2Fns%23%20%20sioct%3A%20http%3A%2F%2Frdfs.org%2Fsioc%2Ftypes%23%20%20skos%3A%20http%3A%2F%2Fwww.w3.org%2F2004%2F02%2Fskos%2Fcore%23%20%20xsd%3A%20http%3A%2F%2Fwww.w3.org%2F2001%2FXMLSchema%23%20%5C%22%20dir%3D%5C%22ltr%5C%22%20lang%3D%5C%22en%5C%22%3E%22%2C%22value%22%3A%5B%22RECOMMENDATION%22%2C%22PASS%22%5D%2C%22reasonId%22%3A%22Pass_0%22%2C%22ruleId%22%3A%22img_alt_background%22%2C%22msgArgs%22%3A%5B%5D%7D"
"results","pass","aria_content_in_landmark","Rule Passed","/html[1]/head[1]","https://able.ibm.com/rules/archives/2024.12.12/doc/en-US/aria_content_in_landmark.html#%7B%22message%22%3A%22Rule%20Passed%22%2C%22snippet%22%3A%22%3Chead%3E%22%2C%22value%22%3A%5B%22VIOLATION%22%2C%22PASS%22%5D%2C%22reasonId%22%3A%22Pass_0%22%2C%22ruleId%22%3A%22aria_content_in_landmark%22%2C%22msgArgs%22%3A%5B%5D%7D"
"results","pass","aria_content_in_landmark","Rule Passed","/html[1]/head[1]/meta[1]","https://able.ibm.com/rules/archives/2024.12.12/doc/en-US/aria_content_in_landmark.html#%7B%22message%22%3A%22Rule%20Passed%22%2C%22snippet%22%3A%22%3Cmeta%20charset%3D%5C%22utf-8%5C%22%3E%22%2C%22value%22%3A%5B%22VIOLATION%22%2C%22PASS%22%5D%2C%22reasonId%22%3A%22Pass_0%22%2C%22ruleId%22%3A%22aria_content_in_landmark%22%2C%22msgArgs%22%3A%5B%5D%7D"
"results","pass","aria_content_in_landmark","Rule Passed","/html[1]/head[1]/meta[2]","https://able.ibm.com/rules/archives/2024.12.12/doc/en-US/aria_content_in_landmark.html#%7B%22message%22%3A%22Rule%20Passed%22%2C%22snippet%22%3A%22%3Cmeta%20content%3D%5C%22Drupal%2010%20(https%3A%2F%2Fwww.drupal.org)%3B%20Commerce%202%5C%22%20name%3D%5C%22Generator%5C%22%3E%22%2C%22value%22%3A%5B%22VIOLATION%22%2C%22PASS%22%5D%2C%22reasonId%22%3A%22Pass_0%22%2C%22ruleId%22%3A%22aria_content_in_landmark%22%2C%22msgArgs%22%3A%5B%5D%7D"
"results","pass","aria_content_in_landmark","Rule Passed","/html[1]/head[1]/meta[3]","https://able.ibm.com/rules/archives/2024.12.12/doc/en-US/aria_content_in_landmark.html#%7B%22message%22%3A%22Rule%20Passed%22%2C%22snippet%22%3A%22%3Cmeta%20content%3D%5C%22width%5C%22%20name%3D%5C%22MobileOptimized%5C%22%3E%22%2C%22value%22%3A%5B%22VIOLATION%22%2C%22PASS%22%5D%2C%22reasonId%22%3A%22Pass_0%22%2C%22ruleId%22%3A%22aria_content_in_landmark%22%2C%22msgArgs%22%3A%5B%5D%7D"
"results","pass","aria_content_in_landmark","Rule Passed","/html[1]/head[1]/meta[4]","https://able.ibm.com/rules/archives/2024.12.12/doc/en-US/aria_content_in_landmark.html#%7B%22message%22%3A%22Rule%20Passed%22%2C%22snippet%22%3A%22%3Cmeta%20content%3D%5C%22true%5C%22%20name%3D%5C%22HandheldFriendly%5C%22%3E%22%2C%22value%22%3A%5B%22VIOLATION%22%2C%22PASS%22%5D%2C%22reasonId%22%3A%22Pass_0%22%2C%22ruleId%22%3A%22aria_content_in_landmark%22%2C%22msgArgs%22%3A%5B%5D%7D"
